CryoSleep,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Side,group_size,HasSpent,HomePlanet_Europa,HomePlanet_Mars,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,CabinNumBin_300-599,CabinNumBin_600-899,CabinNumBin_900-1199,CabinNumBin_1200-1499,CabinNumBin_1500+
0,-1.588235294117647,0.0,0.0,0.0,0.0,0.0,1,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1,-0.5882352941176471,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0.4705882352941176,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1,-0.0588235294117647,0.0,0.0,0.0,0.0,0.0,1,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,-0.8235294117647058,0.0,0.0,1.3110768450118555,0.17376534287144,2.3013862166139885,0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
0,-0.1764705882352941,0.0,1.304657072059518,0.0,1.0921850716455084,1.679345244466552,0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0,-1.588235294117647,0.0,0.0,0.0,0.0,0.0,1,1.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,-0.1176470588235294,0.0,1.5663624443911417,0.0,0.2754115523761867,0.0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.2941176470588235,0.0,0.0,0.0,0.0,0.0,1,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0.1176470588235294,1.725377053820154,0.0,0.0,0.930956861034032,0.0,1,0.0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0,-0.2941176470588235,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,-0.4705882352941176,0.7580159921564845,1.807947039293476,0.7343611355735556,0.4491768952476266,0.5916741449658187,1,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,0.7058823529411765,0.0,0.0,0.0,1.838154557736188,1.8906550992344568,0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,-0.7058823529411765,0.0,0.0,0.0,0.0,0.0,1,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1.1764705882352942,0.0,1.0,2.1342995016572037,0.0,0.5239995654055677,0,0.5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
0,-1.0588235294117647,0.0,0.0,0.0,0.0,0.0,0,3.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0,0.7647058823529411,0.0,1.4065776462117947,0.0,0.0,2.001119014704076,0,1.5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0.4705882352941176,0.0,0.0,1.3213657691802776,0.0,1.829361598631644,1,0.5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,1.9030954672697908,0.91133453984985,0.2210647294575037,0.0,0.0,1,1.5,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,0.9411764705882352,1.7897781110603768,0.0,1.898661877302696,1.2022586427056212,0.0,1,0.0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,-1.0,0.0,0.0,0.0,0.0,0.0,1,1.5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,-1.1176470588235294,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,-0.2941176470588235,0.0,1.476465072745277,0.0,0.0,1.5916741449658185,1,2.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,0.1764705882352941,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,-0.1764705882352941,0.0,1.6855631036292422,0.2210647294575037,0.0,0.0,0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0,-0.3529411764705882,0.7245290455462887,0.8544331721773178,0.0,0.34753068574288,1.6556749634790964,1,0.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,-0.6470588235294118,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
0,-0.7058823529411765,2.072147512886105,0.0,2.24571030238951,0.17376534287144,0.6457112531348923,1,3.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,0.1764705882352941,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
0,0.1176470588235294,0.0,2.286959904882141,0.0,0.34753068574288,2.2966368429195234,0,2.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0.5294117647058824,0.0,0.7003338123346776,1.6976621905714555,1.5863529936098562,0.3733048224778867,1,0.5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,-0.1764705882352941,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1,-0.2941176470588235,0.0,0.0,0.0,0.0,0.0,1,2.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,-0.4705882352941176,0.6415482152485357,0.7799299767247662,0.0,0.0,1.7068725109806495,1,0.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0,-0.4117647058823529,0.0,0.3358975579140839,0.0,1.7920216427180151,2.120631871304774,1,2.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,0.9411764705882352,0.0,0.0,0.0,0.0,0.0,1,0.5,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,-0.5294117647058824,0.8388901471096889,0.0,2.08102111134333,0.0,0.1866524112389433,0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,-0.1764705882352941,0.0,0.0,0.9218233423019256,0.0,1.7980217809998935,0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
0,-0.4705882352941176,0.0,0.0,2.089329427482967,0.738142580866548,1.2025909389764322,1,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1,-0.1764705882352941,0.0,0.0,0.0,0.0,0.0,1,1.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
0,-0.4705882352941176,0.0,1.5341157469541702,0.7647583148507885,0.0,1.3700007011705806,1,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,1,0.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,-0.2941176470588235,1.8160633965896351,0.9753381681297422,0.0,0.0,0.0,0,0.0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
0,0.5294117647058824,1.6787899044228,2.067838395790164,0.2210647294575037,1.251053533562515,1.8235637909269136,1,0.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,-0.1764705882352941,0.6160483210529383,1.6104129148135584,0.7343611355735556,0.0,0.0,1,0.5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,0.5294117647058824,0.2939297479087193,1.73693881237301,0.0,0.4034706315309319,0.0,1,0.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.1764705882352941,1.7572655109170814,0.0,0.0,1.0264128696499986,1.0934062777324662,0,1.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,-0.5882352941176471,0.0,0.0,0.0,0.0,0.0,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
